city,timestamp_utc,temperature_c,apparent_temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_code,weather_description
London,2026-09-25 12:25:25,21.1,21.7,63,4.0,0.0,0,Clear sky
Cardiff,2026-09-25 12:25:25,20.2,19.6,58,7.9,0.0,2,Partly cloudy
Birmingham,2026-09-25 12:25:25,16.5,14.9,66,11.5,0.0,3,Overcast
Belfast,2026-09-25 12:25:25,16.0,13.2,55,13.7,0.0,3,Overcast
Edinburgh,2026-09-25 12:25:26,15.5,11.9,56,19.1,0.0,2,Partly cloudy
Leeds,2026-09-25 12:25:26,15.5,13.3,59,10.4,0.0,3,Overcast
Glasgow,2026-09-25 12:25:25,15.2,11.6,57,19.1,0.0,3,Overcast
Manchester,2026-09-25 12:25:25,14.5,13.5,73,6.5,0.0,3,Overcast
